variable;value;type;definition;source;comments
socass_qc_assets_couple;2500;float;;https://www.canlii.org/fr/qc/legis/regl/rlrq-c-a-13.1.1-r-1/123587/rlrq-c-a-13.1.1-r-1.html;liquid assets not considered
socass_qc_assets_single;1500;float;;https://www.emploiquebec.gouv.qc.ca/publications/pdf/SR_dep_montant_prestations.pdf;
socass_qc_base_single;7476;float;;;
socass_qc_base_couple;11580;float;;;
socass_qc_temp_single;1584;float;;;
socass_qc_temp_couple;2724;float;;;
socass_qc_temp_child_age;4;float;;;
socass_qc_temp_elder_age;58;float;;;
socass_qc_ajust_single;480;float;;;
socass_qc_ajust_single_kid;1299.96;float;;;
socass_qc_ajust_kid;624.96;float;;;
socass_qc_ajust_kid1;1293;float;;;
socass_qc_ajust_kid2;1086.96;float;;;
socass_qc_ajust_kid3;1008.96;float;;;
socass_qc_ajust_kid12_12yp;102.96;float;;; 12ans et plus
socass_qc_exemption_single;2400;float;;;
socass_qc_exemption_couple;3600;float;;;
socass_qc_mono_adult_kid1;1640.04;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 74
socass_qc_mono_adult_kid2;1452;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 74
socass_qc_couple_adult_kid1;1452;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 74
socass_qc_couple_adult_kid2;1152;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 74
socass_qc_ajust_adult_sec_kid1;3177;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 75
socass_qc_ajust_adult_sec_kid2;2970.96;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 75
socass_qc_ajust_adult_sec_kid3;2973;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 75
socass_qc_ajust_adult_dis_kid;2268;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 75
socass_qc_ajust_post_sec;1200;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 78
socass_qc_alimony;1200;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 111
socass_on_assets_couple;2500;float;;https://www.mcss.gov.on.ca/en/mcss/programs/social/directives/index.aspx;
socass_on_assets_single;5000;float;;;
socass_on_assets_kid;500;float;;;
socass_on_exempt;2400;float;;;
socass_on_exempt_rate;0.5;float;;;
socass_on_couple_no_dep18;5664;float;;https://www.ontario.ca/laws/regulation/980134/v107;july 2016-june2017
socass_on_couple_1dep18;7458;float;;;
socass_on_couple_2dep18;9444;float;;;
socass_on_add_dep18;165;float;;;
socass_on_single_no_dep18_kid;3810;float;;;
socass_on_single_no_dep18;4134;float;;;
socass_on_single_1dep18;7128;float;;;
socass_on_single_2dep18;8922;float;;;
socsol_qc_assets_single;2500;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 163
socsol_qc_assets_couple;5000;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 163
socsol_qc_base_single;11364;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 156
socsol_qc_base_couple;16992;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 156
socsol_qc_exemption_single;1200;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 162
socsol_qc_exemption_couple;1200;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 162
socsol_qc_couple_adult_kid1;1560;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 158
socsol_qc_couple_adult_kid2;1224;float;;legisQuébec Règlement sur l’aide aux personnes et aux familles;article 158
