variable;value;type;definition;source;comments
base_single;2400;int;;;
base_couple;3600;int;;;
rate_single_dep;0.15;float;;;
rate;0.274;float;;;
rate_couple_dep;0.14;float;;;
max_single;2319.14;float;;;
max_single_dep;1269.60;float;;;
max_couple;3620.09;float;;;
max_couple_dep;1849.68;float;;;
exempt_single;12308.41;float;;;
exempt_single_dep;12304.80;float;;;
exempt_couple;18897.5;float;;;
exempt_couple_dep;18905.35;float;;;
claw_rate;0.2;float;;;
dis_base;1200;int;;;
dis_max;712.04;float;;;
dis_rate_single;0.4;float;;;
dis_rate_couple;0.2;float;;;
dis_exempt_single;23904.11;float;;;
dis_exempt_single_dep;18652.80;float;;;
dis_exempt_couple;36997.95;float;;;
dis_exempt_couple_dep;28153.75;float;;;
dis_claw_rate;0.2;float;;;
dis_couple_claw_rate;0.1;float;;;both spouses disabled
