variable;value;type;definition;source;comments
div_elig_factor;1.38;float;;;
div_other_can_factor;1.17;float;;;
div_elig_cred_rate;0.150198;float;;;
div_other_can_cred_rate;0.105217;float;;;
cap_gains_rate;0.5;float;;;
qpip_deduc_rate;0.4368;float;;Schedule 10;
basic_amount;11635;float;;T1-2017 Schedule 1;
age_cred_amount;7225;float;;;
min_age_cred;65;int;;;
age_cred_exempt;36430;float;;T1-2017 Federal Worksheet (line 301);
age_cred_claw_rate;0.15;float;;;
empl_cred_max;1178;float;;;
pension_cred_amount;2000;float;;T1-2017 Federal Worksheet (line 314);
pension_cred_min_age_split;65;int;;;
disability_cred_amount;8113;float;;T1-2017 Federal Worksheet (line 316);
med_exp_nr_cred_max_age;18;int;;Guide fiscal 2017;
med_exp_nr_cred_max_claw;2268;float;;Guide fiscal 2017;
med_exp_nr_cred_rate;0.03;float;;Guide fiscal 2017;
donation_frac_net;0.75;float;;;
donation_low_cut;200;float;;;
donation_high_cut;202800;float;;;
donation_low_rate;0.15;float;;;
donation_med_rate;0.29;float;;;
donation_high_rate;0.33;float;;;
rate_non_ref_tax_cred;0.15;float;;;
rate_abatment_qc;0.165;float;;T1 General 2017;
ccb_young;6496;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview/canada-child-benefit-ccb-payment-amounts.html;
ccb_old;5481;float;;;
ccb_max_num_ch;4;int;;;
ccb_cutoff_1;30450;float;;;
ccb_cutoff_2;65976;float;;;
ccb_rate_1_1ch;0.07;float;;;
ccb_rate_1_2ch;0.135;float;;;
ccb_rate_1_3ch;0.19;float;;;
ccb_rate_1_4ch;0.23;float;;;
ccb_rate_2_1ch;0.032;float;;;
ccb_rate_2_2ch;0.057;float;;;
ccb_rate_2_3ch;0.08;float;;;
ccb_rate_2_4ch;0.095;float;;;
med_exp_rate;0.25;float;;;
med_exp_claw_rate;0.05;float;;TP1 D. 2017;
med_exp_claw_cutoff;26644;float;;;
med_exp_max;1203;float;;;
med_exp_min_work_inc;3514;float;;;
gst_cred_claw_rate;0.05;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/goods-services-tax-harmonized-sales-tax-gst-hst-credit/gst-hst-credit-calculation-sheets.html;
gst_cred_claw_cutoff;36429;float;;;
gst_cred_base;280;float;;;
gst_cred_other;147;float;;;
gst_cred_rate;0.02;float;;;
gst_cred_base_amount;9073;float;;;
chcare_young;8000;float;;;
chcare_old;5000;float;;;
chcare_rate_inc;0.66666;float;;;
