variable;value;type;definition;source;comments
div_elig_factor;1.38;float;;;
div_other_can_factor;1.17;float;;;
div_elig_cred_rate;0.150198;float;;;
div_other_can_cred_rate;0.105217;float;;;
cap_gains_rate;0.5;float;;;
qpip_deduc_rate;0.4368;float;;5005-S10;
basic_amount;11474;float;;;
age_cred_amount;7125;float;;;
min_age_cred;65;int;;;
age_cred_exempt;35927;float;;;
age_cred_claw_rate;0.15;float;;;
empl_cred_max;1161;float;;;
pension_cred_amount;2000;float;;T1-2018 Federal Worksheet;
pension_cred_min_age_split;65;int;;;
disability_cred_amount;8001;float;;;
med_exp_nr_cred_max_age;18;int;;;
med_exp_nr_cred_max_claw;2237;float;;;
med_exp_nr_cred_rate;0.03;float;;;
donation_frac_net;0.75;float;;;
donation_low_cut;200;float;;;
donation_high_cut;200000;float;;;
donation_low_rate;0.15;float;;;
donation_med_rate;0.29;float;;;
donation_high_rate;0.33;float;;;
rate_non_ref_tax_cred;0.15;float;;;
rate_abatment_qc;0.165;float;;;
ccb_young;6400;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview/canada-child-benefit-ccb-payment-amounts.html;
ccb_old;5400;float;;;
ccb_max_num_ch;4;int;;;
ccb_cutoff_1;30000;float;;;
ccb_cutoff_2;65001;float;;;
ccb_rate_1_1ch;0.07;float;;;
ccb_rate_1_2ch;0.135;float;;;
ccb_rate_1_3ch;0.19;float;;;
ccb_rate_1_4ch;0.23;float;;;
ccb_rate_2_1ch;0.032;float;;;
ccb_rate_2_2ch;0.057;float;;;
ccb_rate_2_3ch;0.08;float;;;
ccb_rate_2_4ch;0.095;float;;;
med_exp_rate;0.25;float;TP-1.D;;
med_exp_claw_rate;0.05;float;;;
med_exp_claw_cutoff;26277;float;;;
med_exp_max;1187;float;;;
med_exp_min_work_inc;3465;float;;;
gst_cred_claw_rate;0.05;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/goods-services-tax-harmonized-sales-tax-gst-hst-credit/gst-hst-credit-calculation-sheets.html;
gst_cred_claw_cutoff;35926;float;;;
gst_cred_base;276;float;;;
gst_cred_other;145;float;;;
gst_cred_rate;0.02;float;;;
gst_cred_base_amount;8948;float;;;
chcare_young;8000;float;;;
chcare_old;5000;float;;;
chcare_rate_inc;0.66666;float;;;
