variable;value;type;definition;source;comments
div_elig_factor;1.38;float;;;
div_other_can_factor;1.15;float;;;
div_elig_cred_rate;0.150198;float;;;
div_other_can_cred_rate;0.090313;float;;;
cap_gains_rate;0.5;float;;;
qpip_deduc_rate;0.43683;float;;;*assume qu'il reste stable puisque change peu d'annee en annee  #ZBO not sure, I think it should be more like 0.00494?
basic_amount_poor;13808;float;;;
basic_amount_rich;12421;float;;;
age_cred_amount;7713;float;;;
min_age_cred;65;int;;;
age_cred_exempt;38893;float;;;
age_cred_claw_rate;0.15;float;;;
empl_cred_max;1257;float;;;
pension_cred_amount;2000;float;;https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/sujets/tout-votre-declaration-revenus/declaration-revenus/remplir-declaration-revenus/deductions-credits-depenses/ligne-31400-montant-revenu-pension.html;
pension_cred_min_age_split;65;int;;;
disability_cred_amount;8662;float;;https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/foire-questions-particuliers/rajustement-montants-fonction-indexation-impot-particuliers-prestations.html;
med_exp_nr_cred_max_age;18;int;;;
med_exp_nr_cred_max_claw;2421;float;;https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/foire-questions-particuliers/rajustement-montants-fonction-indexation-impot-particuliers-prestations.html;
med_exp_nr_cred_rate;0.03;float;;;
donation_frac_net;0.75;float;;;
donation_low_cut;200;float;;;
donation_high_cut;216511;float;;https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/foire-questions-particuliers/rajustement-montants-fonction-indexation-impot-particuliers-prestations.html;
donation_low_rate;0.15;float;;;
donation_med_rate;0.29;float;;;
donation_high_rate;0.33;float;;;
rate_non_ref_tax_cred;0.15;float;;;
rate_abatment_qc;0.165;float;;;
ccb_young;6833;float;;https://www.canada.ca/en/revenue-agency/services/tax/individuals/frequently-asked-questions-individuals/adjustment-personal-income-tax-benefit-amounts.html; 
ccb_old;5765;float;;;
ccb_covid_supp;300;float;;https://www.canada.ca/fr/ministere-finances/plan-intervention-economique.html; 
ccb_max_num_ch;4;int;;;
ccb_cutoff_1;32028;float;;;
ccb_cutoff_2;69395;float;;;
ccb_rate_1_1ch;0.07;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview/canada-child-benefit-we-calculate-your-ccb.html;
ccb_rate_1_2ch;0.135;float;;;
ccb_rate_1_3ch;0.19;float;;;
ccb_rate_1_4ch;0.23;float;;;
ccb_rate_2_1ch;0.032;float;;;
ccb_rate_2_2ch;0.057;float;;;
ccb_rate_2_3ch;0.08;float;;;
ccb_rate_2_4ch;0.095;float;;;
ccb_ccbycs_cutoff;120000;float;;;
ccb_ccbycs_1;1200;float;;;
ccb_ccbycs_2;600;float;;;
med_exp_rate;0.25;float;;;#ZBO 15% ?
med_exp_claw_rate;0.05;float;;https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/foire-questions-particuliers/rajustement-montants-fonction-indexation-impot-particuliers-prestations.html;#ZBO 3% ?
med_exp_claw_cutoff;28446;float;;;
med_exp_max;1285;float;;;
med_exp_min_work_inc;3715;float;;;
gst_cred_claw_rate;0.05;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/goods-services-tax-harmonized-sales-tax-gst-hst-credit/gst-hst-credit-calculation-sheets.html;
gst_cred_claw_cutoff;38892;float;;;
gst_cred_base;299;float;;;
gst_cred_other;157;float;;;
gst_cred_rate;0.02;float;;;
gst_cred_base_amount;9686;float;;;
gst_covid_single;400;float;;https://www.canada.ca/fr/ministere-finances/plan-intervention-economique.html;#################################
gst_covid_couple;600;float;;; #######################################
chcare_young;8000;float;;;
chcare_old;5000;float;;;
chcare_rate_inc;0.66666;float;;;
ei_max_net_inc;70375;float;;https://www.canada.ca/en/employment-social-development/programs/ei/ei-list/reports/repayment.html;
ei_rate_repay;0.3;float;;;
ded_qpp_rate;0.052632;float;;; ok
ded_qpp_exempt;3500;int;;; ok
ded_qpp_claw_rate;0.03;float;;; ok
