variable;value;type;definition;source ;comments
work_deduc_max;1130;float;;;
work_deduc_rate;0.06;float;;;
nrtc_age_max;2485;float;;
nrtc_age;65;int;;;
nrtc_single;1355;float;;;
nrtc_pension_max;2210;float;;;
nrtc_pension_factor;1;float;;;
nrtc_claw_rate;0.15;float;;;
nrtc_claw_cutoff;33505;float;;;
nrtc_rate;0.2;float;;;
nrtc_base;11550;float;;;
nrtc_disabled;2625;float;;;
ccap_max_age;18;int;;;
ccap_claw_rate;0.04;float;;;
ccap_claw_cutoff_couple;47665;float;;;
ccap_claw_cutoff_single;34656;float;;;
ccap_amount_single_min;335;float;;;
ccap_amount_single_max;839;float;;;
ccap_kid1_min;671;float;;;
ccap_kid1_max;2392;float;;;
ccap_kid23_min;620;float;;;
ccap_kid23_max;1195;float;;;
ccap_kid4p_min;620;float;;;
ccap_kid4p_max;1793;float;;;
