variable;value;type;definition;source ;comments
basic_amount;11635;float;;T1-2017 Schedule 1;
age_cred_amount;7225;float;;;
min_age_cred;65;int;;;
age_cred_exemption;36430;float;;T1-2017 Federal Worksheet;
age_cred_claw_rate;0.15;float;;;
pension_cred_amount;2000;float;;T1-2017 Federal Worksheet;
disability_cred_amount;8113;float;;;
rate_non_ref_tax_cred;0.15;float;;;
rate_abatment_qc;0.165;float;;T1 General 2017;
ccb_young_max_age;5;int;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview/canada-child-benefit-ccb-payment-amounts.html;
ccb_old_max_age;17;int;;;
ccb_young;6496;float;;;
ccb_old;5481;float;;;
ccb_max_num_ch;4;int;;;
ccb_cutoff_1;30450;float;;;
ccb_cutoff_2;65976;float;;;
ccb_rate_1_1ch;0.07;float;;;
ccb_rate_1_2ch;0.135;float;;;
ccb_rate_1_3ch;0.19;float;;;
ccb_rate_1_4ch;0.23;float;;;
ccb_rate_2_1ch;0.032;float;;;
ccb_rate_2_2ch;0.057;float;;;
ccb_rate_2_3ch;0.08;float;;;
ccb_rate_2_4ch;0.095;float;;;
