variable;value;type;definition;source ;comments
basic_amount;12069;float;;Income Tax and Benefit Return 2019;
age_cred_amount;7494;float;;;
min_age_cred;65;int;;;
age_cred_exemption;37790;float;;;
age_cred_claw_rate;0.15;float;;;
pension_cred_amount;2000;float;;T1-2019 Federal Worksheet;
disability_cred_amount;8416;float;;;
rate_non_ref_tax_cred;0.15;float;;;
rate_abatment_qc;0.165;float;;Income Tax and Benefit Return 2019;
ccb_young_max_age;5;int;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview/payment-amounts-current-year.html;
ccb_old_max_age;17;int;;;
ccb_young;6639;float;;;
ccb_old;5602;float;;;
ccb_max_num_ch;4;int;;;
ccb_cutoff_1;31120;float;;;
ccb_cutoff_2;67427;float;;;
ccb_rate_1_1ch;0.07;float;;;
ccb_rate_1_2ch;0.135;float;;;
ccb_rate_1_3ch;0.19;float;;;
ccb_rate_1_4ch;0.23;float;;;
ccb_rate_2_1ch;0.032;float;;;
ccb_rate_2_2ch;0.057;float;;;
ccb_rate_2_3ch;0.08;float;;;
ccb_rate_2_4ch;0.095;float;;;
gst_cred_kids_max_age;18;int;;;
gst_cred_claw_rate;0.05;float;;https://www.canada.ca/en/revenue-agency/services/child-family-benefits/goods-services-tax-harmonized-sales-tax-gst-hst-credit/gst-hst-credit-calculation-sheets.html;
gst_cred_claw_cutoff;37789;float;;;
gst_cred_base;290;float;;;
gst_cred_other;153;float;;;
gst_cred_rate;0.02;float;;;
gst_cred_base_amount;9412;float;;;
chcare_max_age_young;6;int;;form T778;
chcare_max_age_old;16;int;;;
chcare_young;8000;float;;;
chcare_old;5000;float;;;
chcare_rate_inc;0.66666;float;;;
