variable;value;type;definition;source ;comments
work_deduc_max;1150;float;;;
work_deduc_rate;0.06;float;;;
nrtc_age_max;3158;float;;;
nrtc_age;65;int;;;
nrtc_single;1721;float;;;
nrtc_pension_max;2805;float;;;
nrtc_pension_factor;1.25;float;;;
nrtc_claw_rate;0.1875;float;;;
nrtc_claw_cutoff;34030;float;;;
nrtc_rate;0.15;float;;;
nrtc_base;15012;float;;;
nrtc_disabled;3334;float;;;
ccap_max_age;18;int;;https://www.retraitequebec.gouv.qc.ca/fr/salle_presse/2017/Pages/20171201.aspx;
ccap_claw_rate;0.04;float;;http://www.finances.gouv.qc.ca/documents/Autres/fr/AUTFR_DepensesFiscales2018.pdf;
ccap_claw_cutoff_couple;48246;float;;;
ccap_claw_cutoff_single;35096;float;;;
ccap_amount_single_min;340;float;;;
ccap_amount_single_max;852;float;;;
ccap_kid1_min;682;float;;;
ccap_kid1_max;2430;float;;;
ccap_kid23_min;630;float;;;
ccap_kid23_max;1214;float;;;
ccap_kid4p_min;630;float;;;
ccap_kid4p_max;1821;float;;;
chcare_max_age_young;6;int;;;
chcare_max_age_old;16;int;;;
chcare_young;9500;float;;;
chcare_old;5000;float;;;
add_chcare_min_income;51340;float;TP-1.D.I(2018-12).pdf;
add_chcare_min_contrib;0.70;float;;
add_chcare_cutoff_income;77005;float;;
add_chcare_max_extra_contrib;13.20;float;;
add_chcare_ndays_year;260;float;;
add_chcare_rate;0.039;float;;
solidarity_max_age_kid;18;int;http://www.cqff.com/liens/solidarite.pdf;
solidarity_tvq_base;287;float;;
solidarity_housing_kid;119;float;;
solidarity_tvq_couple;287;float;;
solidarity_housing_not_alone;675;float;;
solidarity_tvq_single;137;float;;
solidarity_housing_alone;557;float;;
solidarity_cutoff;34215;float;;
solidarity_rate_total;0.06;float;;
solidarity_rate_tvq;0.03;float;;
witb_max_age;18;int;;
witb_rate_couple_dep;0.25;float;;
witb_rate;0.094;float;;
witb_cut_inc_low_couple;3600;float;;
witb_cut_inc_high_couple;16356;float;;
witb_rate_single_dep;0.30;float;;
witb_cut_inc_low_single;2400;float;;
witb_cut_inc_high_single;10574;float;;
witb_claw_rate;0.10;float;;
exp_work_min_age;61;int;;
exp_work_claw_rate;0.05;float;;
exp_work_cut_inc;34030;float;;
exp_work_rate;0.15;float;;
exp_work_min_inc;5000;float;;
exp_work_max_work_inc_60;0;float;;
exp_work_max_work_inc_61;3000;float;;
exp_work_max_work_inc_62;5000;float;;
exp_work_max_work_inc_63;7000;float;;
exp_work_max_work_inc_64;9000;float;;
exp_work_max_work_inc_65;11000;float;;
exp_work_age_born_bef51;67;int;;
exp_work_min_amount_born_51;600;float;;
