variable;value;type;definition;source;comments
div_elig_factor;1.38;float;;;
div_other_can_factor;1.17;float;;;
div_elig_cred_net_rate;0.16422;float;;;
div_other_can_cred_net_rate;0.082485;float;;;
cap_gains_rate;0.5;float;;;
qpip_deduc_rate;0.43679;float;;;
work_deduc_max;1130;float;;;
work_deduc_rate;0.06;float;;;
nrtc_age_max;2485;float;;;
nrtc_age;65;int;;;
nrtc_living_alone;1355;float;;;
nrtc_pension_max;2210;float;;;
nrtc_pension_factor;1;float;;;
nrtc_claw_rate;0.15;float;;;
nrtc_claw_cutoff;33505;float;;;
nrtc_rate;0.2;float;;;
nrtc_base;11550;float;;;
nrtc_disabled;2625;float;;;
nrtc_med_exp_rate;0.03;float;;TP-1.D.B;
nrtc_donation_low_cut;200;float;;;
nrtc_donation_low_rate;0.20;float;;;
nrtc_donation_med_rate;0.24;float;;;
nrtc_union_dues_rate;0.10;float;;;
ccap_claw_rate;0.04;float;;;
ccap_claw_cutoff_couple;47665;float;;;
ccap_claw_cutoff_single;34656;float;;;
ccap_amount_single_min;335;float;;;
ccap_amount_single_max;839;float;;;
ccap_kid1_min;671;float;;;
ccap_kid1_max;2392;float;;;
ccap_kid23_min;620;float;;;
ccap_kid23_max;1195;float;;;
ccap_kid4p_min;620;float;;;
ccap_kid4p_max;1793;float;;;
chcare_young;9000;float;;;
chcare_old;5000;float;;;
add_chcare_min_income;50545;float;TP-1.D.I(2016-12).pdf;;
add_chcare_min_contrib;0.70;float;;;
add_chcare_cutoff_income;75820;float;;;
add_chcare_max_extra_contrib;12.45;float;;;
add_chcare_ndays_year;260;float;;;
add_chcare_rate;0.039;float;;;
solidarity_tvq_base;283;float;;;
solidarity_housing_kid;117;float;;;
solidarity_tvq_couple;283;float;;;
solidarity_housing_not_alone;665;float;;;
solidarity_tvq_single;135;float;;;
solidarity_housing_alone;548;float;;;
solidarity_cutoff;33685;float;;;
solidarity_rate_total;0.06;float;;;
solidarity_rate_tvq;0.03;float;;;
witb_rate_couple_dep;0.25;float;;;
witb_rate;0.09;float;;;
witb_cut_inc_low_couple;3600;float;;;
witb_cut_inc_high_couple;16190;float;;;
witb_rate_single_dep;0.30;float;;;
witb_cut_inc_low_single;2400;float;;;
witb_cut_inc_high_single;10464;float;;;
witb_claw_rate;0.10;float;;;
home_supp_min_age;70;int;;;
home_supp_max_dep;25500;float;;;
home_supp_max_non_dep;19500;float;;;
home_supp_claw_rate;0.03;float;;;
home_supp_cutoff;56515;float;;;
home_supp_rate;0.34;float;;;
med_exp_rate;0.25;float;TP-1.D;;
med_exp_claw_rate;0.05;float;;;
med_exp_claw_cutoff;22560;float;;;
med_exp_max;1166;float;;;
med_exp_min_work_inc;2985;float;;;
exp_work_min_age;64;int;;;
exp_work_claw_rate;0.05;float;;;
exp_work_cut_inc;33505;float;;;
exp_work_rate;0.1504;float;;;
exp_work_min_inc;5000;float;;;
exp_work_max_work_inc_60;0;float;;;
exp_work_max_work_inc_61;0;float;;;
exp_work_max_work_inc_62;0;float;;;
exp_work_max_work_inc_63;0;float;;;
exp_work_max_work_inc_64;4000;float;;;
exp_work_max_work_inc_65;6000;float;;;
exp_work_age_born_bef51;65;int;;;
exp_work_min_amount_born_51;601.60;float;;;
health_cutoff_10;18570;float;;;
health_cutoff_12;23880;float;;;
health_cutoff_14;27055;float;;;
health_cutoff_16;23880;float;;;
health_cutoff_18;27055;float;;;
health_cutoff_20;29985;float;;;
health_cutoff_27;9287;float;;;
health_cutoff_28;5848;float;;;
health_cutoff_29;5397;float;;;
health_cutoff_31;8669;float;;;
health_age_high;65;int;;;
health_age_low;60;int;;;
