base;11550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rates;0.15;0.3;0.24;0.2575;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brack;42705;85405;103915;10000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_age;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_age_max;2485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_age_base;33505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_rate;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_age_rate;0.15
nrtc_pension_max;2210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_single;1355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_disabled;2625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_dep_base;3065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nrtc_dep_inc_redrate;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_start_single;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_start_couple;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_rate_single;0.205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_rate_couple;0.205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_stop_single;10506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_stop_couple;16248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_red_single;11816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_red_couple;18153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_red_1adch;11854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_red_2adch;18231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_rate_1adch;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_rate_2adch;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_redrate_1ad;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
witb_redrate_2ad;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
awitb_start_single;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
awitb_start_couple;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
awitb_rate_single;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
awitb_rate_couple;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
